utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name
s-001,7,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:44:55.674996+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-002,8,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.097724+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-003,16,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.113593+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-004,11,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.129234+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-005,18,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.144255+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-006,17,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.159762+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-007,14,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.175285+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-008,12,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.190798+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-009,10,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.206302+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-010,8,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.221824+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-011,10,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.237335+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-012,12,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.252840+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-013,13,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.268307+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-014,24,short,true_stream,true_stream,0.0,0.0,0,RuntimeError('TRUE_STREAM produced 0 audio chunks — talker thread likely raised (see prior log). Routing to fallback chain.'),2026-05-08T01:45:00.283812+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
