utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name
s-001,7,short,sentence_stream,sentence_stream,6.002758979797363,0.7769,18645,,2026-05-08T01:45:23.023066+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-002,8,short,sentence_stream,sentence_stream,1.6296899318695068,0.9369,22485,,2026-05-08T01:45:29.032332+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-003,16,short,sentence_stream,sentence_stream,3.8984367847442627,2.4569,58965,,2026-05-08T01:45:30.671043+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-004,11,short,sentence_stream,sentence_stream,1.5090489387512207,1.0169,24405,,2026-05-08T01:45:34.575987+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-005,18,short,sentence_stream,sentence_stream,2.5078532695770264,1.6569,39765,,2026-05-08T01:45:36.090537+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-006,17,short,sentence_stream,sentence_stream,1.2593517303466797,0.7769,18645,,2026-05-08T01:45:38.603555+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-007,14,short,sentence_stream,sentence_stream,2.027637481689453,1.1769,28245,,2026-05-08T01:45:39.868909+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-008,12,short,sentence_stream,sentence_stream,1.303023099899292,0.8569,20565,,2026-05-08T01:45:41.902877+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-009,10,short,sentence_stream,sentence_stream,1.9618146419525146,1.2569,30165,,2026-05-08T01:45:43.211910+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-010,8,short,sentence_stream,sentence_stream,1.5661864280700684,0.9369,22485,,2026-05-08T01:45:45.249750+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-011,10,short,sentence_stream,sentence_stream,1.8060650825500488,1.2569,30165,,2026-05-08T01:45:46.821484+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-012,12,short,sentence_stream,sentence_stream,2.030924081802368,1.0969,26325,,2026-05-08T01:45:48.633304+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-013,13,short,sentence_stream,sentence_stream,3.240325450897217,1.9769,47445,,2026-05-08T01:45:50.670727+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-014,24,short,sentence_stream,sentence_stream,3.4667301177978516,2.3769,57045,,2026-05-08T01:45:53.917004+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-015,24,short,sentence_stream,sentence_stream,6.833875894546509,4.4569,106965,,2026-05-08T01:45:57.389752+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-016,22,short,sentence_stream,sentence_stream,2.209604024887085,1.4969,35925,,2026-05-08T01:46:04.227124+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-017,17,short,sentence_stream,sentence_stream,2.5268399715423584,1.4969,35925,,2026-05-08T01:46:06.443352+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-001,49,medium,sentence_stream,sentence_stream,6.269457578659058,4.2169,101205,,2026-05-08T01:46:08.976306+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-002,51,medium,sentence_stream,sentence_stream,1.9407048225402832,5.0738,121770,,2026-05-08T01:46:15.252262+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-003,49,medium,sentence_stream,sentence_stream,6.733247995376587,3.9769,95445,,2026-05-08T01:46:23.354619+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-004,58,medium,sentence_stream,sentence_stream,5.782202482223511,3.4169,82005,,2026-05-08T01:46:30.094884+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-005,59,medium,sentence_stream,sentence_stream,5.7716076374053955,3.4969,83925,,2026-05-08T01:46:35.950667+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-006,54,medium,sentence_stream,sentence_stream,5.625671625137329,3.6569,87765,,2026-05-08T01:46:41.725807+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-007,56,medium,sentence_stream,sentence_stream,6.418742418289185,3.9769,95445,,2026-05-08T01:46:47.357478+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-008,58,medium,sentence_stream,sentence_stream,4.481391668319702,3.0969,74325,,2026-05-08T01:46:53.782720+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-009,58,medium,sentence_stream,sentence_stream,5.690417766571045,3.7369,89685,,2026-05-08T01:46:58.270617+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-010,60,medium,sentence_stream,sentence_stream,9.858044862747192,4.2169,101205,,2026-05-08T01:47:03.975658+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-011,36,medium,sentence_stream,sentence_stream,3.3325998783111572,2.1369,51285,,2026-05-08T01:47:13.840720+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
