utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name
s-001,7,short,true_stream,true_stream,5.4482481479644775,0.4569,10965,,2026-05-08T04:44:45.211362+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-002,8,short,true_stream,true_stream,1.419494867324829,0.7769,18645,,2026-05-08T04:44:50.674688+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-003,16,short,true_stream,true_stream,4.096498012542725,3.2376,77702,,2026-05-08T04:44:52.104228+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-004,11,short,true_stream,true_stream,2.2524266242980957,1.0969,26325,,2026-05-08T04:44:57.661910+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-005,18,short,true_stream,true_stream,2.1985747814178467,1.1769,28245,,2026-05-08T04:44:59.978679+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-006,17,short,true_stream,true_stream,1.9068121910095215,1.0169,24405,,2026-05-08T04:45:02.188858+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-007,14,short,true_stream,true_stream,1.4681897163391113,0.8569,20565,,2026-05-08T04:45:04.116000+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-008,12,short,true_stream,true_stream,1.7565834522247314,1.0969,26325,,2026-05-08T04:45:05.589724+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-009,10,short,true_stream,true_stream,1.6859922409057617,1.0169,24405,,2026-05-08T04:45:07.357443+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-010,8,short,true_stream,true_stream,1.9893813133239746,1.2569,30165,,2026-05-08T04:45:09.057358+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-011,10,short,true_stream,true_stream,4.283557415008545,2.5176,60422,,2026-05-08T04:45:11.081261+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-012,12,short,true_stream,true_stream,1.9458723068237305,0.9369,22485,,2026-05-08T04:45:15.928113+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-013,13,short,true_stream,true_stream,2.152378797531128,1.0169,24405,,2026-05-08T04:45:17.893735+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-014,24,short,true_stream,true_stream,4.896902799606323,2.4376,58502,,2026-05-08T04:45:20.081800+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-015,24,short,true_stream,true_stream,4.841759204864502,3.3176,79622,,2026-05-08T04:45:25.218315+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-016,22,short,true_stream,true_stream,5.942377328872681,2.6776,64262,,2026-05-08T04:45:32.934671+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
s-017,17,short,true_stream,true_stream,4.2584123611450195,1.5769,37845,,2026-05-08T04:45:39.428487+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-001,49,medium,true_stream,true_stream,6.277386903762817,4.0376,96902,,2026-05-08T04:45:43.691398+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-002,51,medium,true_stream,true_stream,5.885891914367676,5.3783,129079,,2026-05-08T04:45:53.138769+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-003,49,medium,true_stream,true_stream,4.69949746131897,4.6583,111799,,2026-05-08T04:46:05.464733+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-004,58,medium,true_stream,true_stream,4.8832011222839355,5.1383,123319,,2026-05-08T04:46:16.256247+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-005,59,medium,true_stream,true_stream,4.966566801071167,4.0376,96902,,2026-05-08T04:46:28.106726+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-006,54,medium,true_stream,true_stream,4.84953761100769,3.8776,93062,,2026-05-08T04:46:36.979628+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-007,56,medium,true_stream,true_stream,6.35350775718689,3.4776,83462,,2026-05-08T04:46:46.080536+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-008,58,medium,true_stream,true_stream,6.371700763702393,4.8183,115639,,2026-05-08T04:46:54.622309+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-009,58,medium,true_stream,true_stream,6.320357084274292,6.319,151656,,2026-05-08T04:47:06.219155+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-010,60,medium,true_stream,true_stream,6.755615711212158,2.9976,71942,,2026-05-08T04:47:21.760057+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-011,36,medium,true_stream,true_stream,4.476137638092041,2.2169,53205,,2026-05-08T04:47:29.728170+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-012,48,medium,true_stream,true_stream,4.879807710647583,3.3176,79622,,2026-05-08T04:47:34.210349+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-013,56,medium,true_stream,true_stream,4.691140174865723,3.1576,75782,,2026-05-08T04:47:41.586258+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-014,57,medium,true_stream,true_stream,4.953204154968262,3.2376,77702,,2026-05-08T04:47:48.610810+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-015,47,medium,true_stream,true_stream,6.216996908187866,3.9576,94982,,2026-05-08T04:47:55.729732+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-016,55,medium,true_stream,true_stream,5.5989830493927,3.7976,91142,,2026-05-08T04:48:05.041925+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
m-017,52,medium,true_stream,true_stream,6.404447793960571,3.0776,73862,,2026-05-08T04:48:13.482319+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-001,181,long,true_stream,true_stream,6.175981521606445,13.9411,334587,,2026-05-08T04:48:21.312661+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-002,180,long,true_stream,true_stream,4.884411096572876,10.3604,248650,,2026-05-08T04:48:54.442662+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-003,192,long,true_stream,true_stream,4.898346662521362,10.5204,252490,,2026-05-08T04:49:16.917340+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-004,198,long,true_stream,true_stream,4.42196798324585,11.8004,283210,,2026-05-08T04:49:40.653747+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-005,197,long,true_stream,true_stream,6.656971216201782,14.0211,336507,,2026-05-08T04:50:02.922705+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-006,200,long,true_stream,true_stream,6.177087306976318,10.4404,250570,,2026-05-08T04:50:36.467321+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-007,212,long,true_stream,true_stream,4.053239583969116,12.5811,301947,,2026-05-08T04:50:57.244350+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-008,194,long,true_stream,true_stream,4.163817644119263,13.7811,330747,,2026-05-08T04:51:18.463348+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-009,203,long,true_stream,true_stream,4.126932144165039,10.6804,256330,,2026-05-08T04:51:42.122089+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-010,207,long,true_stream,true_stream,4.0556511878967285,11.5604,277450,,2026-05-08T04:52:00.258202+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-011,197,long,true_stream,true_stream,4.198025941848755,10.7604,258250,,2026-05-08T04:52:19.867088+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-012,208,long,true_stream,true_stream,4.106082916259766,13.5411,324987,,2026-05-08T04:52:38.111168+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-013,163,long,true_stream,true_stream,4.098670721054077,19.8032,475278,,2026-05-08T04:53:00.951520+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-014,158,long,true_stream,true_stream,3.8747406005859375,10.8404,260170,,2026-05-08T04:53:34.641265+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-015,190,long,true_stream,true_stream,4.122074127197266,11.4804,275530,,2026-05-08T04:53:54.089741+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
l-016,203,long,true_stream,true_stream,3.8156163692474365,12.2004,292810,,2026-05-08T04:54:14.344671+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090
