utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name,split_seconds,model_load_seconds,generate_seconds,decode_seconds,deliver_seconds,split_chunk_count,first_chunk_chars
s-001,7,short,sentence_stream,sentence_stream,3.786146879196167,0.5369,12885,,2026-05-08T16:39:05.567124+00:00,0.0.4,2.10.0+cu128,cpu,4.400000761961564e-06,2.18083630000001,1.594908299999588,0.0,6.480000047304202e-05,1,7
s-002,8,short,sentence_stream,sentence_stream,5.532822132110596,2.4569,58965,,2026-05-08T16:39:09.358288+00:00,0.0.4,2.10.0+cu128,cpu,6.900001608300954e-06,1.0199999451288022e-05,5.531730400000015,0.0,6.200000098033343e-05,1,8
s-003,16,short,sentence_stream,sentence_stream,4.683186054229736,2.0569,49365,,2026-05-08T16:39:14.895111+00:00,0.0.4,2.10.0+cu128,cpu,8.999999408842996e-06,1.6899999536690302e-05,4.682491900000969,0.0,8.479999996779952e-05,1,16
s-004,11,short,sentence_stream,sentence_stream,2.9360783100128174,1.3369,32085,,2026-05-08T16:39:19.584319+00:00,0.0.4,2.10.0+cu128,cpu,6.099999154685065e-06,1.0399999155197293e-05,2.9346518000002106,0.0,6.38999990769662e-05,1,11
m-001,49,medium,sentence_stream,sentence_stream,7.286688327789307,3.2569,78165,,2026-05-08T16:39:22.526282+00:00,0.0.4,2.10.0+cu128,cpu,6.299998858594336e-06,9.699999282020144e-06,7.286143100000118,0.0,6.740000026184134e-05,1,49
m-002,51,medium,sentence_stream,sentence_stream,3.6556146144866943,4.1937,100650,,2026-05-08T16:39:29.817498+00:00,0.0.4,2.10.0+cu128,cpu,7.0000005507608876e-06,9.999999747378752e-06,3.6554613999996945,0.0,6.529999882332049e-05,2,20
m-003,49,medium,sentence_stream,sentence_stream,5.529448509216309,2.2969,55125,,2026-05-08T16:39:39.541587+00:00,0.0.4,2.10.0+cu128,cpu,6.70000008540228e-06,1.0900001143454574e-05,5.52852460000031,0.0,6.360000043059699e-05,1,49
m-004,58,medium,sentence_stream,sentence_stream,7.951536655426025,3.3369,80085,,2026-05-08T16:39:45.077558+00:00,0.0.4,2.10.0+cu128,cpu,6.50000038149301e-06,1.0300000212737359e-05,7.9507432999998855,0.0,6.819999907747842e-05,1,58
l-001,181,long,sentence_stream,sentence_stream,9.763835668563843,11.6337,279210,,2026-05-08T16:39:53.032105+00:00,0.0.4,2.10.0+cu128,cpu,9.800000043469481e-06,1.06999996205559e-05,9.762613000000783,0.0,6.159999975352548e-05,2,77
l-002,180,long,sentence_stream,sentence_stream,23.031073331832886,9.7369,233685,,2026-05-08T16:40:20.992418+00:00,0.0.4,2.10.0+cu128,cpu,7.99999907030724e-06,1.0300000212737359e-05,23.0306999000004,0.0,6.129999928816687e-05,1,181
