utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name,split_seconds,model_load_seconds,generate_seconds,decode_seconds,deliver_seconds,split_chunk_count,first_chunk_chars
s-001,7,short,sentence_stream,sentence_stream,4.7944886684417725,0.5369,12885,,2026-05-08T16:10:03.198640+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,3.99999953515362e-06,3.647814300000391,1.1368760999994265,0.0,5.77000009798212e-05,1,7
s-002,8,short,sentence_stream,sentence_stream,1.4648606777191162,0.9369,22485,,2026-05-08T16:10:07.999156+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.099998816149309e-06,8.799999704933725e-06,1.4644048000009207,0.0,5.400000009103678e-05,1,8
s-003,16,short,sentence_stream,sentence_stream,3.857776641845703,2.3769,57045,,2026-05-08T16:10:09.466849+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.700001227320172e-06,8.099999831756577e-06,3.856673399999636,0.0,5.579999924520962e-05,1,16
s-004,11,short,sentence_stream,sentence_stream,1.3207240104675293,0.9369,22485,,2026-05-08T16:10:13.327663+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.199999577598646e-06,8.499999239575118e-06,1.320006200001444,0.0,5.670000064128544e-05,1,11
s-005,18,short,sentence_stream,sentence_stream,3.1701183319091797,2.2969,55125,,2026-05-08T16:10:14.651410+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.399999281507917e-06,8.999999408842996e-06,3.1700775000008434,0.0,6.060000123397913e-05,1,18
s-006,17,short,sentence_stream,sentence_stream,1.7520320415496826,1.2569,30165,,2026-05-08T16:10:17.827553+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.199999577598646e-06,7.900000127847306e-06,1.7520556999988912,0.0,5.250000140222255e-05,1,17
s-007,14,short,sentence_stream,sentence_stream,2.0947961807250977,1.4169,34005,,2026-05-08T16:10:19.582605+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.199999577598646e-06,7.800001185387373e-06,2.094339499999478,0.0,5.729999975301325e-05,1,14
s-008,12,short,sentence_stream,sentence_stream,1.2652552127838135,0.7769,18645,,2026-05-08T16:10:21.683425+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.999999873689376e-06,8.300001354655251e-06,1.2648321999986365,0.0,7.850000110920519e-05,1,12
s-009,10,short,sentence_stream,sentence_stream,1.8345935344696045,1.0169,24405,,2026-05-08T16:10:22.954696+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.999999873689376e-06,7.900000127847306e-06,1.835051799998837,0.0,5.509999937203247e-05,1,10
s-010,8,short,sentence_stream,sentence_stream,1.7233893871307373,1.1769,28245,,2026-05-08T16:10:24.791808+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.100000635138713e-06,7.99999907030724e-06,1.7229478000008385,0.0,5.529999907594174e-05,1,8
s-011,10,short,sentence_stream,sentence_stream,1.427628755569458,0.9369,22485,,2026-05-08T16:10:26.520722+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.599998985417187e-06,9.199999112752266e-06,1.427339199999551,0.0,5.660000169882551e-05,1,10
s-012,12,short,sentence_stream,sentence_stream,2.187479019165039,1.0969,26325,,2026-05-08T16:10:27.953507+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.599998985417187e-06,9.299999874201603e-06,2.186548899999252,0.0,5.430000055639539e-05,1,12
s-013,13,short,sentence_stream,sentence_stream,1.6031064987182617,1.0169,24405,,2026-05-08T16:10:30.146599+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.100000635138713e-06,8.299999535665847e-06,1.6027493000001414,0.0,5.3699999625678174e-05,1,13
s-014,24,short,sentence_stream,sentence_stream,3.417149066925049,2.5369,60885,,2026-05-08T16:10:31.755237+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.399999281507917e-06,8.900000466383062e-06,3.41709020000053,0.0,5.48999996681232e-05,1,24
s-015,24,short,sentence_stream,sentence_stream,5.468241930007935,3.5769,85845,,2026-05-08T16:10:35.175887+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.399999281507917e-06,7.800001185387373e-06,5.467987799998809,0.0,5.480000072566327e-05,1,24
s-016,22,short,sentence_stream,sentence_stream,2.7653214931488037,1.8969,45525,,2026-05-08T16:10:40.647536+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.800000169780105e-06,8.099999831756577e-06,2.7652724999989005,0.0,5.380000038712751e-05,1,22
s-017,17,short,sentence_stream,sentence_stream,1.9065382480621338,1.3369,32085,,2026-05-08T16:10:43.415882+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.699999746866524e-06,8.099999831756577e-06,1.905694900000526,0.0,0.00011360000098648015,1,17
m-001,49,medium,sentence_stream,sentence_stream,4.740986347198486,3.2569,78165,,2026-05-08T16:10:45.415364+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.699999746866524e-06,9.60000033956021e-06,4.740187999999762,0.0,5.79999996261904e-05,1,49
m-002,51,medium,sentence_stream,sentence_stream,2.523003578186035,4.4337,106410,,2026-05-08T16:10:50.159378+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,6.800000846851617e-06,8.700000762473792e-06,2.5224775000006048,0.0,7.970000115165021e-05,2,20
m-003,49,medium,sentence_stream,sentence_stream,5.48795485496521,3.7369,89685,,2026-05-08T16:10:57.451104+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.699999746866524e-06,8.200000593205914e-06,5.487611700000343,0.0,5.2200000936863944e-05,1,49
m-004,58,medium,sentence_stream,sentence_stream,5.84549617767334,3.8969,93525,,2026-05-08T16:11:02.941442+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.100000635138713e-06,8.099999831756577e-06,5.844839599998522,0.0,7.370000093942508e-05,1,58
m-005,59,medium,sentence_stream,sentence_stream,7.0192601680755615,4.6969,112725,,2026-05-08T16:11:08.790949+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.699999746866524e-06,8.200000593205914e-06,7.019042500000069,0.0,5.459999920276459e-05,1,59
m-006,54,medium,sentence_stream,sentence_stream,4.8656744956970215,3.1769,76245,,2026-05-08T16:11:15.813759+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.799998689326458e-06,8.500001058564521e-06,4.865564199999426,0.0,5.3499999921768904e-05,1,54
m-007,56,medium,sentence_stream,sentence_stream,6.301789999008179,4.2969,103125,,2026-05-08T16:11:20.682955+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.500000042957254e-06,8.400000297115184e-06,6.301121899999998,0.0,5.649999911838677e-05,1,56
m-008,58,medium,sentence_stream,sentence_stream,5.387217044830322,3.8969,93525,,2026-05-08T16:11:26.989278+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.799998689326458e-06,8.899998647393659e-06,5.386526100000992,0.0,5.250000140222255e-05,1,58
m-009,58,medium,sentence_stream,sentence_stream,10.06132173538208,7.4169,178005,,2026-05-08T16:11:32.461340+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.799998689326458e-06,9.100000170292333e-06,10.060232700001507,0.0,5.8400000852998346e-05,1,58
m-010,60,medium,sentence_stream,sentence_stream,4.736827850341797,3.3369,80085,,2026-05-08T16:11:42.529163+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,6.7999990278622136e-06,9.60000033956021e-06,4.736271300000226,0.0,5.580000106419902e-05,1,59
m-011,36,medium,sentence_stream,sentence_stream,3.5167927742004395,2.5369,60885,,2026-05-08T16:11:47.315114+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,6.50000038149301e-06,9.300001693191007e-06,3.515848900000492,0.0,5.5700000302749686e-05,1,36
