utterance_id,text_length_chars,text_class,mode_requested,mode_dispatched,first_chunk_latency_seconds,total_audio_seconds,audio_sample_count,error_flag,wallclock_timestamp,qwen_tts_pin,torch_version,gpu_name,split_seconds,model_load_seconds,generate_seconds,decode_seconds,deliver_seconds,split_chunk_count,first_chunk_chars
s-001,7,short,sentence_stream,sentence_stream,28.572601318359375,1.5769,37845,,2026-05-08T16:20:31.016543+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,3.99999953515362e-06,26.061111800001527,2.5002555000010034,0.0,6.279999979597051e-05,1,7
s-002,8,short,sentence_stream,sentence_stream,2.653669595718384,1.8169,43605,,2026-05-08T16:20:59.591599+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.300000339047983e-06,8.200000593205914e-06,2.6531089000000065,0.0,6.740000026184134e-05,1,8
s-003,16,short,sentence_stream,sentence_stream,3.268151044845581,2.3769,57045,,2026-05-08T16:21:02.326342+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.300000339047983e-06,9.20000093174167e-06,3.268169700000726,0.0,6.310000026132911e-05,1,16
s-004,11,short,sentence_stream,sentence_stream,2.3821780681610107,1.7369,41685,,2026-05-08T16:21:05.601527+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.600000804406591e-06,8.500001058564521e-06,2.3823186999998143,0.0,5.330000021785963e-05,1,11
s-005,18,short,sentence_stream,sentence_stream,2.491539716720581,1.8169,43605,,2026-05-08T16:21:08.012362+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.800000169780105e-06,8.600000001024455e-06,2.4913620999996056,0.0,5.6000000768108293e-05,1,18
s-006,17,short,sentence_stream,sentence_stream,2.9899203777313232,2.0569,49365,,2026-05-08T16:21:10.509933+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.800000169780105e-06,7.200000254670158e-06,2.989857900000061,0.0,5.459999920276459e-05,1,17
s-007,14,short,sentence_stream,sentence_stream,3.12685489654541,1.9769,47445,,2026-05-08T16:21:13.507389+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.499999704421498e-06,8.000000889296643e-06,3.1262065000009898,0.0,5.5700000302749686e-05,1,14
s-008,12,short,sentence_stream,sentence_stream,3.239940881729126,1.8169,43605,,2026-05-08T16:21:16.637763+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,8.19999877421651e-06,1.340000017080456e-05,3.239158700000189,0.0,5.619999865302816e-05,1,12
s-009,10,short,sentence_stream,sentence_stream,7.517902135848999,4.5369,108885,,2026-05-08T16:21:19.880705+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.799998350790702e-06,8.300001354655251e-06,7.517350600001009,0.0,5.710000004910398e-05,1,10
s-010,8,short,sentence_stream,sentence_stream,7.745359659194946,5.2569,126165,,2026-05-08T16:21:27.417663+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,6.299998858594336e-06,1.1299998732283711e-05,7.74478690000069,0.0,5.880000026081689e-05,1,8
s-011,10,short,sentence_stream,sentence_stream,3.0694313049316406,1.6569,39765,,2026-05-08T16:21:35.167562+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.999999873689376e-06,8.499999239575118e-06,3.0685924000008526,0.0,5.6799999583745375e-05,1,10
s-012,12,short,sentence_stream,sentence_stream,4.567744255065918,3.0169,72405,,2026-05-08T16:21:38.242518+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.699999746866524e-06,9.800000043469481e-06,4.567428000000291,0.0,5.6200000472017564e-05,1,12
s-013,13,short,sentence_stream,sentence_stream,2.9140219688415527,2.0569,49365,,2026-05-08T16:21:42.816280+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.600000804406591e-06,9.299999874201603e-06,2.913242300001002,0.0,8.350000098289456e-05,1,13
s-014,24,short,sentence_stream,sentence_stream,5.2177276611328125,3.5769,85845,,2026-05-08T16:21:45.763212+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.399999281507917e-06,8.300001354655251e-06,5.2173297999997885,0.0,5.7699999160831794e-05,1,24
s-015,24,short,sentence_stream,sentence_stream,8.729207277297974,5.8969,141525,,2026-05-08T16:21:50.990146+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,5.399999281507917e-06,8.600000001024455e-06,8.728854999999385,0.0,5.559999954130035e-05,1,24
s-016,22,short,sentence_stream,sentence_stream,5.019004821777344,3.4169,82005,,2026-05-08T16:21:59.722413+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,4.900000931229442e-06,9.100000170292333e-06,5.01908689999982,0.0,5.62999994144775e-05,1,22
s-017,17,short,sentence_stream,sentence_stream,2.845750331878662,1.9769,47445,,2026-05-08T16:22:04.843711+00:00,0.0.4,2.10.0+cu128,NVIDIA GeForce RTX 5090,6.300000677583739e-06,1.0599998859106563e-05,2.845037600000069,0.0,6.749999920430128e-05,1,17
