metric_name,value,session_id,chunk_index,is_final,audio_data_size
progressive_chunk_emit_ms,1778362604152.7358,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,0,,
progressive_chunk_playback_arrival_ms,1778362606201.1064,,0,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,0,,
progressive_chunk_emit_ms,1778362609490.9873,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,1,,
progressive_chunk_playback_arrival_ms,1778362611351.1382,,1,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,1,,
progressive_chunk_emit_ms,1778362614771.237,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,2,,
progressive_chunk_playback_arrival_ms,1778362616682.2368,,2,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,2,,
progressive_chunk_emit_ms,1778362620863.9246,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,3,,
progressive_chunk_playback_arrival_ms,1778362622721.5405,,3,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,3,,
progressive_chunk_emit_ms,1778362627740.7693,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,4,,
progressive_chunk_playback_arrival_ms,1778362629642.2026,,4,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,4,,
progressive_chunk_emit_ms,1778362634155.6245,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,5,,
progressive_chunk_playback_arrival_ms,1778362636011.3389,,5,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,5,,
progressive_chunk_emit_ms,1778362640517.8315,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,6,,
progressive_chunk_playback_arrival_ms,1778362642381.0747,,6,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,6,,
progressive_chunk_emit_ms,1778362646761.4065,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,7,,
progressive_chunk_playback_arrival_ms,1778362648661.18,,7,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,7,,
progressive_chunk_emit_ms,1778362653234.819,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,8,,
progressive_chunk_playback_arrival_ms,1778362655092.6853,,8,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,8,,
progressive_chunk_emit_ms,1778362659912.8162,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,9,,
progressive_chunk_emit_ms,1778362659995.3674,8c7f1acf-4cd5-4daf-8ed3-ed16fff1cd13,10,,
progressive_chunk_playback_arrival_ms,1778362661811.915,,9,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,,9,,
