metric_name,value,session_id,chunk_index,is_final,audio_data_size
progressive_chunk_emit_ms,1778376329777.1243,828eed8a-85be-47c8-8194-35fe2cd6fadf,0,,
progressive_chunk_playback_arrival_ms,1778376331831.16,828eed8a-85be-47c8-8194-35fe2cd6fadf,0,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,0,,
progressive_chunk_emit_ms,1778376337490.7278,828eed8a-85be-47c8-8194-35fe2cd6fadf,1,,
progressive_chunk_playback_arrival_ms,1778376339361.5173,828eed8a-85be-47c8-8194-35fe2cd6fadf,1,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,1,,
progressive_chunk_emit_ms,1778376345701.2231,828eed8a-85be-47c8-8194-35fe2cd6fadf,2,,
progressive_chunk_playback_arrival_ms,1778376347631.262,828eed8a-85be-47c8-8194-35fe2cd6fadf,2,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,2,,
progressive_chunk_emit_ms,1778376352367.1028,828eed8a-85be-47c8-8194-35fe2cd6fadf,3,,
progressive_chunk_playback_arrival_ms,1778376354231.4348,828eed8a-85be-47c8-8194-35fe2cd6fadf,3,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,3,,
progressive_chunk_emit_ms,1778376358882.166,828eed8a-85be-47c8-8194-35fe2cd6fadf,4,,
progressive_chunk_playback_arrival_ms,1778376360792.0396,828eed8a-85be-47c8-8194-35fe2cd6fadf,4,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,4,,
progressive_chunk_emit_ms,1778376365055.514,828eed8a-85be-47c8-8194-35fe2cd6fadf,5,,
progressive_chunk_playback_arrival_ms,1778376366921.4104,828eed8a-85be-47c8-8194-35fe2cd6fadf,5,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,5,,
progressive_chunk_emit_ms,1778376371396.8635,828eed8a-85be-47c8-8194-35fe2cd6fadf,6,,
progressive_chunk_playback_arrival_ms,1778376373261.0728,828eed8a-85be-47c8-8194-35fe2cd6fadf,6,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,6,,
progressive_chunk_emit_ms,1778376377865.063,828eed8a-85be-47c8-8194-35fe2cd6fadf,7,,
progressive_chunk_playback_arrival_ms,1778376379781.1511,828eed8a-85be-47c8-8194-35fe2cd6fadf,7,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,7,,
progressive_chunk_emit_ms,1778376384049.301,828eed8a-85be-47c8-8194-35fe2cd6fadf,8,,
progressive_chunk_playback_arrival_ms,1778376385921.9023,828eed8a-85be-47c8-8194-35fe2cd6fadf,8,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,8,,
progressive_chunk_emit_ms,1778376390309.3884,828eed8a-85be-47c8-8194-35fe2cd6fadf,9,,
progressive_chunk_emit_ms,1778376391021.5317,828eed8a-85be-47c8-8194-35fe2cd6fadf,10,,
progressive_chunk_playback_arrival_ms,1778376392231.472,828eed8a-85be-47c8-8194-35fe2cd6fadf,9,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,828eed8a-85be-47c8-8194-35fe2cd6fadf,9,,
first_chunk_latency_ms,7799.872159957886,828eed8a-85be-47c8-8194-35fe2cd6fadf,,,
