run_index,first_chunk_latency_ms,session_id
1,5859.334468841553,dbc4ae2d-cee8-48e8-ad7b-6eb316f9ae07
2,4579.701900482178,8aa89ce2-6088-40f4-b504-2a9c69707e1c
3,4976.308345794678,3af67877-bbdf-4134-bcfa-65dee846435c
4,5199.090480804443,d2a50f3b-1019-4b96-b0df-0cfdd8e2fa33
5,5048.640727996826,43b82bd3-dc5c-44b1-9726-8ed16b8e6374
6,5359.4934940338135,0b59704d-086c-471b-913f-b9718cc7d436
7,4495.337009429932,3868df9f-80cb-4be0-b3c5-d3204a57e8b0
8,4538.327932357788,6d790c40-7c15-4bea-ac8a-f7b0eb167356
9,4168.253183364868,f3250923-04bb-4e98-bc8f-3ac0483868f5
10,4716.489791870117,11f6a73b-acc5-4e76-b064-b5bb8fca3a59
