metric_name,value,session_id,chunk_index,is_final,audio_data_size
progressive_chunk_emit_ms,1778527231645.1006,4695868b-966f-49d3-8bfe-1f1bd4c342d6,0,,
progressive_chunk_playback_arrival_ms,1778527233701.5452,4695868b-966f-49d3-8bfe-1f1bd4c342d6,0,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,0,,
progressive_chunk_emit_ms,1778527234076.3435,4695868b-966f-49d3-8bfe-1f1bd4c342d6,1,,
progressive_chunk_playback_arrival_ms,1778527235941.1812,4695868b-966f-49d3-8bfe-1f1bd4c342d6,1,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,1,,
progressive_chunk_emit_ms,1778527237913.2236,4695868b-966f-49d3-8bfe-1f1bd4c342d6,2,,
progressive_chunk_playback_arrival_ms,1778527239831.6655,4695868b-966f-49d3-8bfe-1f1bd4c342d6,2,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,2,,
progressive_chunk_emit_ms,1778527241363.816,4695868b-966f-49d3-8bfe-1f1bd4c342d6,3,,
progressive_chunk_playback_arrival_ms,1778527243230.7947,4695868b-966f-49d3-8bfe-1f1bd4c342d6,3,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,3,,
progressive_chunk_emit_ms,1778527244297.2212,4695868b-966f-49d3-8bfe-1f1bd4c342d6,4,,
progressive_chunk_playback_arrival_ms,1778527246201.7908,4695868b-966f-49d3-8bfe-1f1bd4c342d6,4,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,4,,
progressive_chunk_emit_ms,1778527247284.831,4695868b-966f-49d3-8bfe-1f1bd4c342d6,5,,
progressive_chunk_playback_arrival_ms,1778527249151.8438,4695868b-966f-49d3-8bfe-1f1bd4c342d6,5,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,5,,
progressive_chunk_emit_ms,1778527250216.9873,4695868b-966f-49d3-8bfe-1f1bd4c342d6,6,,
progressive_chunk_playback_arrival_ms,1778527252080.7373,4695868b-966f-49d3-8bfe-1f1bd4c342d6,6,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,6,,
progressive_chunk_emit_ms,1778527253155.8738,4695868b-966f-49d3-8bfe-1f1bd4c342d6,7,,
progressive_chunk_playback_arrival_ms,1778527255061.1448,4695868b-966f-49d3-8bfe-1f1bd4c342d6,7,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,7,,
progressive_chunk_emit_ms,1778527256504.4417,4695868b-966f-49d3-8bfe-1f1bd4c342d6,8,,
progressive_chunk_playback_arrival_ms,1778527258371.5872,4695868b-966f-49d3-8bfe-1f1bd4c342d6,8,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,8,,
progressive_chunk_emit_ms,1778527260307.4353,4695868b-966f-49d3-8bfe-1f1bd4c342d6,9,,
progressive_chunk_emit_ms,1778527260796.5874,4695868b-966f-49d3-8bfe-1f1bd4c342d6,10,,
progressive_chunk_playback_arrival_ms,1778527262210.9622,4695868b-966f-49d3-8bfe-1f1bd4c342d6,9,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,4695868b-966f-49d3-8bfe-1f1bd4c342d6,9,,
first_chunk_latency_ms,5415.875196456909,4695868b-966f-49d3-8bfe-1f1bd4c342d6,,,
