metric_name,value,session_id,chunk_index,is_final,audio_data_size
progressive_chunk_emit_ms,1778528601348.2188,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,0,,
progressive_chunk_playback_arrival_ms,1778528603415.0256,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,0,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,0,,
progressive_chunk_emit_ms,1778528603898.2305,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,1,,
progressive_chunk_playback_arrival_ms,1778528605775.0352,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,1,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,1,,
progressive_chunk_emit_ms,1778528606597.1106,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,2,,
progressive_chunk_playback_arrival_ms,1778528608524.7007,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,2,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,2,,
progressive_chunk_emit_ms,1778528609258.866,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,3,,
progressive_chunk_playback_arrival_ms,1778528611134.3306,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,3,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,3,,
progressive_chunk_emit_ms,1778528611798.931,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,4,,
progressive_chunk_playback_arrival_ms,1778528613714.2825,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,4,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,4,,
progressive_chunk_emit_ms,1778528614768.2974,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,5,,
progressive_chunk_playback_arrival_ms,1778528616644.4038,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,5,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,5,,
progressive_chunk_emit_ms,1778528618496.888,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,6,,
progressive_chunk_playback_arrival_ms,1778528620374.6082,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,6,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,6,,
progressive_chunk_emit_ms,1778528621614.0632,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,7,,
progressive_chunk_playback_arrival_ms,1778528623535.13,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,7,False,47537
progressive_chunk_audio_duration_ms,1980.7083333333333,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,7,,
progressive_chunk_emit_ms,1778528624434.0608,6742535c-b12d-4d95-97aa-d2ceaaf7b00a,8,,
