run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,9080.064208984375,4613.977783203125,4466.08642578125,1885.4326171875,188.642578125,0.0,0.5048828125,11154.644250869751,11154.644287109375,9,1,threshold,30,1402.8319091796875,1980.7083333333333,0.708247592829007,1.411935614218785,11154.644287109375,0.0,17826.375,23310.040950775146,True,25,long,auto,auto
0,109.865234375,0.50537109375,109.35986328125,1678.9814453125,69.31982421875,0.0,0.0,1858.1664562225342,1858.16650390625,9,1,threshold,30,1363.83251953125,1980.7083333333333,0.6885579752350801,1.4523105329781283,1858.16650390625,0.0,17822.541666666668,13957.171201705933,False,25,long,auto,auto
1,118.997802734375,1.00341796875,117.994384765625,2238.206298828125,81.003173828125,1.0048828125,0.0,2438.2073879241943,2438.207275390625,10,1,threshold,30,2101.18359375,1980.7083333333333,1.0608243315733008,0.9426631443463475,2438.207275390625,0.0,19723.25,21854.07042503357,False,25,long,auto,auto
2,112.156494140625,0.50244140625,111.654052734375,1875.885498046875,85.51025390625,0.0,0.0,2073.552370071411,2073.55224609375,10,1,threshold,30,1820.43310546875,1980.7083333333333,0.9190818632065549,1.0880423605696368,2073.55224609375,0.0,18923.25,19763.24772834778,False,25,long,auto,auto
3,114.63134765625,1.003662109375,113.627685546875,2020.425537109375,86.338134765625,1.507080078125,0.0,2221.3950157165527,2221.39501953125,10,1,threshold,30,1924.188232421875,1980.7083333333333,0.9714647028235901,1.0293734781031891,2221.39501953125,0.0,20043.25,19858.945846557617,False,25,long,auto,auto
4,154.872314453125,1.5068359375,153.365478515625,2226.5400390625,71.67431640625,0.0,0.0,2453.0866146087646,2453.086669921875,9,1,threshold,30,1884.2763671875,1980.7083333333333,0.9513144037802134,1.0511771881370933,2453.086669921875,0.0,17902.541666666668,18658.65969657898,False,25,long,auto,auto
5,228.958740234375,0.503173828125,228.45556640625,2098.153076171875,72.967041015625,1.003173828125,0.0,2400.078773498535,2400.078857421875,10,1,threshold,30,1908.703125,1980.7083333333333,0.9636467383301429,1.0377246767138464,2400.078857421875,0.0,18523.25,19245.723485946655,False,25,long,auto,auto
6,182.577880859375,1.508056640625,181.06982421875,1946.88134765625,87.756103515625,0.0,0.0,2217.2152996063232,2217.21533203125,10,1,threshold,30,1878.45654296875,1980.7083333333333,0.9483761497622905,1.0544339397934555,2217.21533203125,0.0,18843.25,20272.488832473755,False,25,long,auto,auto
7,208.460693359375,1.0166015625,207.444091796875,3104.884521484375,90.98583984375,0.0,0.0,3404.3309688568115,3404.3310546875,10,1,threshold,30,1857.938232421875,1980.7083333333333,0.9380170725566401,1.0660786773042632,3404.3310546875,0.0,19803.25,22053.003072738647,False,25,long,auto,auto
8,164.921142578125,0.504638671875,164.41650390625,1832.921875,126.186767578125,1.00146484375,0.0,2124.0296363830566,2124.02978515625,10,1,threshold,30,2060.787353515625,1980.7083333333333,1.0404294861765573,0.9611415413406531,2124.02978515625,0.0,19483.25,20356.653928756714,False,25,long,auto,auto
9,116.484130859375,1.00439453125,115.479736328125,2656.40283203125,93.472412109375,0.0,1.018798828125,2867.3782348632812,2867.378173828125,10,1,threshold,30,2730.824462890625,1980.7083333333333,1.3787110484333256,0.7253151420932854,2867.378173828125,0.0,19003.25,25782.581329345703,False,25,long,auto,auto
