run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,consumer_chunks_held,first_emit_path,first_emit_frames,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,9337.840087890625,4799.28369140625,4538.556396484375,1830.642578125,130.33203125,0.0,0.0,11298.814535140991,11298.814697265625,2,1,threshold,30,,,,,11298.814697265625,0.0,2357.583333333333,11393.168449401855,True,25,short,auto,auto
0,114.311279296875,0.50439453125,113.806884765625,1533.579345703125,35.244384765625,0.0,0.0,1683.1347942352295,1683.135009765625,1,1,residual_flush,28,,,,,1683.135009765625,0.0,2216.875,1686.1517429351807,False,25,short,auto,auto
1,106.231689453125,0.50341796875,105.728271484375,1517.5390625,34.765625,0.0,0.0,1658.536434173584,1658.536376953125,1,1,residual_flush,28,,,,,1658.536376953125,0.0,2216.875,1667.2344207763672,False,25,short,auto,auto
2,110.06591796875,1.509033203125,108.556884765625,1714.5302734375,36.919921875,0.505615234375,0.0,1861.515998840332,1861.51611328125,2,1,threshold,30,,,,,1861.51611328125,0.0,2357.583333333333,1913.6559963226318,False,25,short,auto,auto
3,114.98681640625,1.02099609375,113.9658203125,1420.697509765625,32.911865234375,1.17822265625,0.0,1568.5961246490479,1568.59619140625,1,1,residual_flush,25,,,,,1568.59619140625,0.0,1976.875,1572.7927684783936,False,25,short,auto,auto
4,109.927001953125,1.027587890625,108.8994140625,1420.20751953125,49.927001953125,1.022216796875,0.0,1580.061435699463,1580.0615234375,1,1,residual_flush,25,,,,,1580.0615234375,0.0,1976.875,1608.633041381836,False,25,short,auto,auto
5,87.74462890625,1.003173828125,86.741455078125,1478.3134765625,33.70361328125,0.0,0.0,1599.761724472046,1599.76171875,1,1,residual_flush,28,,,,,1599.76171875,0.0,2216.875,1689.103364944458,False,25,short,auto,auto
6,99.102294921875,0.50439453125,98.597900390625,1606.40771484375,65.845947265625,0.0,0.50244140625,1771.8584537506104,1771.8583984375,2,1,threshold,30,,,,,1771.8583984375,0.0,2437.583333333333,1828.9194107055664,False,25,short,auto,auto
7,96.986572265625,1.5048828125,95.481689453125,1434.697265625,33.724365234375,0.505126953125,0.0,1565.4082298278809,1565.408203125,1,1,residual_flush,27,,,,,1565.408203125,0.0,2136.875,1567.4221515655518,False,25,short,auto,auto
8,106.9306640625,1.00390625,105.9267578125,1596.56201171875,50.069091796875,0.501220703125,0.0,1753.5617351531982,1753.561767578125,1,1,residual_flush,29,,,,,1753.561767578125,0.0,2296.875,1756.0734748840332,False,25,short,auto,auto
9,109.560546875,0.506103515625,109.054443359375,1336.393798828125,40.318603515625,0.0,0.0,1486.2730503082275,1486.27294921875,1,1,residual_flush,25,,,,,1486.27294921875,0.0,1976.875,1516.0326957702637,False,25,short,auto,auto
