metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788287159300.8945,,,,
ttfa_talker_thread_start_ms,1788287159301.3977,,,,
ttfa_first_decode_step_ms,1788287162887.0747,,,,
ttfa_generation_start_ms,1788287162998.4888,5126c29e-fea2-4410-b0f4-a657f1476224,,,
ttfa_first_chunk_emit_ms,1788287163766.1228,,,,
ttfa_first_decode_complete_ms,1788287163954.308,no-registry,0,,
progressive_chunk_emit_ms,1788287163954.308,,0,,
progressive_chunk_emit_ms,1788287164029.727,,1,,
first_chunk_latency_ms,4653.413534164429,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_talker_thread_start_ms,1788287164041.2866,5126c29e-fea2-4410-b0f4-a657f1476224,,,
ttfa_first_decode_step_ms,1788287164129.5974,5126c29e-fea2-4410-b0f4-a657f1476224,,,
ttfa_first_chunk_emit_ms,1788287164799.931,5126c29e-fea2-4410-b0f4-a657f1476224,,,
ttfa_first_decode_complete_ms,1788287164919.3347,5126c29e-fea2-4410-b0f4-a657f1476224,0,,
progressive_chunk_emit_ms,1788287164920.3374,5126c29e-fea2-4410-b0f4-a657f1476224,0,,
ttfa_first_playback_write_ms,1788287164941.4556,5126c29e-fea2-4410-b0f4-a657f1476224,0,,
progressive_chunk_emit_ms,1788287165339.519,5126c29e-fea2-4410-b0f4-a657f1476224,1,,
progressive_chunk_playback_arrival_ms,1788287165815.6785,5126c29e-fea2-4410-b0f4-a657f1476224,0,False,18830
progressive_chunk_emit_ms,1788287165815.6785,5126c29e-fea2-4410-b0f4-a657f1476224,2,,
progressive_chunk_audio_duration_ms,784.5833333333333,5126c29e-fea2-4410-b0f4-a657f1476224,0,,
progressive_chunk_emit_ms,1788287166286.83,5126c29e-fea2-4410-b0f4-a657f1476224,3,,
progressive_chunk_playback_arrival_ms,1788287166666.5417,5126c29e-fea2-4410-b0f4-a657f1476224,1,False,18830
progressive_chunk_audio_duration_ms,784.5833333333333,5126c29e-fea2-4410-b0f4-a657f1476224,1,,
progressive_chunk_emit_ms,1788287166756.9004,5126c29e-fea2-4410-b0f4-a657f1476224,4,,
progressive_chunk_emit_ms,1788287167222.6091,5126c29e-fea2-4410-b0f4-a657f1476224,5,,
progressive_chunk_playback_arrival_ms,1788287167355.5776,5126c29e-fea2-4410-b0f4-a657f1476224,2,False,18830
progressive_chunk_audio_duration_ms,784.5833333333333,5126c29e-fea2-4410-b0f4-a657f1476224,2,,
progressive_chunk_emit_ms,1788287167699.5195,5126c29e-fea2-4410-b0f4-a657f1476224,6,,
progressive_chunk_emit_ms,1788287168162.6267,5126c29e-fea2-4410-b0f4-a657f1476224,7,,
progressive_chunk_playback_arrival_ms,1788287168206.2666,5126c29e-fea2-4410-b0f4-a657f1476224,3,False,18830
progressive_chunk_audio_duration_ms,784.5833333333333,5126c29e-fea2-4410-b0f4-a657f1476224,3,,
progressive_chunk_emit_ms,1788287168649.941,5126c29e-fea2-4410-b0f4-a657f1476224,8,,
progressive_chunk_playback_arrival_ms,1788287168886.1235,5126c29e-fea2-4410-b0f4-a657f1476224,4,False,18830
progressive_chunk_audio_duration_ms,784.5833333333333,5126c29e-fea2-4410-b0f4-a657f1476224,4,,
progressive_chunk_emit_ms,1788287169136.554,5126c29e-fea2-4410-b0f4-a657f1476224,9,,
