trial_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
l-020-t1,L1,B,click_or_discontinuity,none,very minor clicks on A
l-020-t2,L1,A,none,click_or_discontinuity,
l-021-t1,L1,B,click_or_discontinuity,none,
l-021-t2,L1,A,none,click_or_discontinuity,
m-020-t1,L1,B,click_or_discontinuity,none,
m-020-t2,L1,B,click_or_discontinuity,none,
m-021-t1,L1,A,none,click_or_discontinuity,
m-021-t2,L1,A,none,click_or_discontinuity,
s-020-t1,L1,B,click_or_discontinuity,none,
s-020-t2,L1,equivalent,none,none,
s-021-t1,L1,equivalent,none,none,
s-021-t2,L1,equivalent,none,none,
s-022-t1,L1,B,click_or_discontinuity,none,
s-022-t2,L1,equivalent,none,none,
