metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788363898283.3293,,,,
ttfa_talker_thread_start_ms,1788363898284.8364,,,,
ttfa_first_decode_step_ms,1788363901931.0176,,,,
ttfa_first_chunk_emit_ms,1788363902814.2788,,,,
ttfa_first_decode_complete_ms,1788363902987.3591,no-registry,0,,
progressive_chunk_emit_ms,1788363902987.8628,,0,,
first_chunk_latency_ms,4704.533576965332,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1788363906924.219,ac8dc860-4598-497f-8bee-1766b2cd83b1,,,
ttfa_talker_thread_start_ms,1788363906925.7258,ac8dc860-4598-497f-8bee-1766b2cd83b1,,,
ttfa_first_decode_step_ms,1788363907016.9868,ac8dc860-4598-497f-8bee-1766b2cd83b1,,,
ttfa_first_chunk_emit_ms,1788363908416.804,ac8dc860-4598-497f-8bee-1766b2cd83b1,,,
ttfa_first_decode_complete_ms,1788363908590.515,ac8dc860-4598-497f-8bee-1766b2cd83b1,0,,
progressive_chunk_emit_ms,1788363908591.0176,ac8dc860-4598-497f-8bee-1766b2cd83b1,0,,
ttfa_first_playback_write_ms,1788363908612.6548,ac8dc860-4598-497f-8bee-1766b2cd83b1,0,,
progressive_chunk_emit_ms,1788363909796.9646,ac8dc860-4598-497f-8bee-1766b2cd83b1,1,,
progressive_chunk_playback_arrival_ms,1788363910677.1714,ac8dc860-4598-497f-8bee-1766b2cd83b1,0,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,0,,
progressive_chunk_emit_ms,1788363911016.9524,ac8dc860-4598-497f-8bee-1766b2cd83b1,2,,
progressive_chunk_emit_ms,1788363912208.8352,ac8dc860-4598-497f-8bee-1766b2cd83b1,3,,
progressive_chunk_playback_arrival_ms,1788363912728.004,ac8dc860-4598-497f-8bee-1766b2cd83b1,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,1,,
progressive_chunk_emit_ms,1788363913431.43,ac8dc860-4598-497f-8bee-1766b2cd83b1,4,,
progressive_chunk_emit_ms,1788363914588.6497,ac8dc860-4598-497f-8bee-1766b2cd83b1,5,,
progressive_chunk_playback_arrival_ms,1788363914778.5688,ac8dc860-4598-497f-8bee-1766b2cd83b1,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,2,,
progressive_chunk_emit_ms,1788363915769.496,ac8dc860-4598-497f-8bee-1766b2cd83b1,6,,
progressive_chunk_playback_arrival_ms,1788363916657.122,ac8dc860-4598-497f-8bee-1766b2cd83b1,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,3,,
progressive_chunk_emit_ms,1788363916965.3022,ac8dc860-4598-497f-8bee-1766b2cd83b1,7,,
progressive_chunk_emit_ms,1788363918126.9053,ac8dc860-4598-497f-8bee-1766b2cd83b1,8,,
progressive_chunk_playback_arrival_ms,1788363918707.3567,ac8dc860-4598-497f-8bee-1766b2cd83b1,4,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,4,,
progressive_chunk_emit_ms,1788363919060.169,ac8dc860-4598-497f-8bee-1766b2cd83b1,9,,
first_chunk_latency_ms,1666.7985916137695,ac8dc860-4598-497f-8bee-1766b2cd83b1,,,
progressive_chunk_playback_arrival_ms,1788363920747.7478,ac8dc860-4598-497f-8bee-1766b2cd83b1,5,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,5,,
progressive_chunk_playback_arrival_ms,1788363922798.6086,ac8dc860-4598-497f-8bee-1766b2cd83b1,6,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,6,,
progressive_chunk_playback_arrival_ms,1788363924678.052,ac8dc860-4598-497f-8bee-1766b2cd83b1,7,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,7,,
progressive_chunk_playback_arrival_ms,1788363926727.2114,ac8dc860-4598-497f-8bee-1766b2cd83b1,8,False,48000
progressive_chunk_audio_duration_ms,2000.0,ac8dc860-4598-497f-8bee-1766b2cd83b1,8,,
progressive_chunk_playback_arrival_ms,1788363928597.1702,ac8dc860-4598-497f-8bee-1766b2cd83b1,9,False,45525
progressive_chunk_audio_duration_ms,1896.875,ac8dc860-4598-497f-8bee-1766b2cd83b1,9,,
ttfa_generation_start_ms,1788363934946.9714,3f9f2601-1e4f-483c-8004-5a3e28de7e58,,,
ttfa_talker_thread_start_ms,1788363934949.9937,3f9f2601-1e4f-483c-8004-5a3e28de7e58,,,
ttfa_first_decode_step_ms,1788363935122.6533,3f9f2601-1e4f-483c-8004-5a3e28de7e58,,,
ttfa_first_chunk_emit_ms,1788363936471.1282,3f9f2601-1e4f-483c-8004-5a3e28de7e58,,,
ttfa_first_decode_complete_ms,1788363936616.4006,3f9f2601-1e4f-483c-8004-5a3e28de7e58,0,,
progressive_chunk_emit_ms,1788363936617.403,3f9f2601-1e4f-483c-8004-5a3e28de7e58,0,,
ttfa_first_playback_write_ms,1788363936638.0825,3f9f2601-1e4f-483c-8004-5a3e28de7e58,0,,
progressive_chunk_emit_ms,1788363937684.3657,3f9f2601-1e4f-483c-8004-5a3e28de7e58,1,,
progressive_chunk_playback_arrival_ms,1788363938702.9443,3f9f2601-1e4f-483c-8004-5a3e28de7e58,0,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,0,,
progressive_chunk_emit_ms,1788363938826.9297,3f9f2601-1e4f-483c-8004-5a3e28de7e58,2,,
progressive_chunk_emit_ms,1788363940019.8,3f9f2601-1e4f-483c-8004-5a3e28de7e58,3,,
progressive_chunk_playback_arrival_ms,1788363940752.4375,3f9f2601-1e4f-483c-8004-5a3e28de7e58,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,1,,
progressive_chunk_emit_ms,1788363941199.8677,3f9f2601-1e4f-483c-8004-5a3e28de7e58,4,,
progressive_chunk_emit_ms,1788363942347.2292,3f9f2601-1e4f-483c-8004-5a3e28de7e58,5,,
progressive_chunk_playback_arrival_ms,1788363942802.3176,3f9f2601-1e4f-483c-8004-5a3e28de7e58,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,2,,
progressive_chunk_emit_ms,1788363943536.0684,3f9f2601-1e4f-483c-8004-5a3e28de7e58,6,,
progressive_chunk_emit_ms,1788363944676.926,3f9f2601-1e4f-483c-8004-5a3e28de7e58,7,,
progressive_chunk_playback_arrival_ms,1788363944681.9558,3f9f2601-1e4f-483c-8004-5a3e28de7e58,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,3,,
progressive_chunk_emit_ms,1788363945824.1313,3f9f2601-1e4f-483c-8004-5a3e28de7e58,8,,
progressive_chunk_playback_arrival_ms,1788363946722.4766,3f9f2601-1e4f-483c-8004-5a3e28de7e58,4,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,4,,
progressive_chunk_emit_ms,1788363946978.6458,3f9f2601-1e4f-483c-8004-5a3e28de7e58,9,,
progressive_chunk_emit_ms,1788363948122.7698,3f9f2601-1e4f-483c-8004-5a3e28de7e58,10,,
progressive_chunk_playback_arrival_ms,1788363948772.4502,3f9f2601-1e4f-483c-8004-5a3e28de7e58,5,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,5,,
progressive_chunk_emit_ms,1788363949311.6062,3f9f2601-1e4f-483c-8004-5a3e28de7e58,11,,
progressive_chunk_emit_ms,1788363950445.5876,3f9f2601-1e4f-483c-8004-5a3e28de7e58,12,,
progressive_chunk_playback_arrival_ms,1788363950821.9058,3f9f2601-1e4f-483c-8004-5a3e28de7e58,6,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,6,,
progressive_chunk_emit_ms,1788363951823.3596,3f9f2601-1e4f-483c-8004-5a3e28de7e58,13,,
progressive_chunk_playback_arrival_ms,1788363952701.7231,3f9f2601-1e4f-483c-8004-5a3e28de7e58,7,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,7,,
progressive_chunk_emit_ms,1788363952972.7908,3f9f2601-1e4f-483c-8004-5a3e28de7e58,14,,
progressive_chunk_emit_ms,1788363954108.2717,3f9f2601-1e4f-483c-8004-5a3e28de7e58,15,,
progressive_chunk_playback_arrival_ms,1788363954751.9485,3f9f2601-1e4f-483c-8004-5a3e28de7e58,8,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,8,,
progressive_chunk_emit_ms,1788363955227.0864,3f9f2601-1e4f-483c-8004-5a3e28de7e58,16,,
progressive_chunk_emit_ms,1788363956378.7502,3f9f2601-1e4f-483c-8004-5a3e28de7e58,17,,
progressive_chunk_playback_arrival_ms,1788363956801.555,3f9f2601-1e4f-483c-8004-5a3e28de7e58,9,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,9,,
progressive_chunk_emit_ms,1788363957550.1064,3f9f2601-1e4f-483c-8004-5a3e28de7e58,18,,
progressive_chunk_playback_arrival_ms,1788363958672.9329,3f9f2601-1e4f-483c-8004-5a3e28de7e58,10,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,10,,
progressive_chunk_emit_ms,1788363958738.3574,3f9f2601-1e4f-483c-8004-5a3e28de7e58,19,,
progressive_chunk_emit_ms,1788363959915.104,3f9f2601-1e4f-483c-8004-5a3e28de7e58,20,,
progressive_chunk_playback_arrival_ms,1788363960721.9548,3f9f2601-1e4f-483c-8004-5a3e28de7e58,11,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,11,,
progressive_chunk_emit_ms,1788363961072.2893,3f9f2601-1e4f-483c-8004-5a3e28de7e58,21,,
progressive_chunk_emit_ms,1788363962220.139,3f9f2601-1e4f-483c-8004-5a3e28de7e58,22,,
progressive_chunk_playback_arrival_ms,1788363962771.4927,3f9f2601-1e4f-483c-8004-5a3e28de7e58,12,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,12,,
progressive_chunk_emit_ms,1788363963359.3843,3f9f2601-1e4f-483c-8004-5a3e28de7e58,23,,
progressive_chunk_emit_ms,1788363964487.2566,3f9f2601-1e4f-483c-8004-5a3e28de7e58,24,,
progressive_chunk_playback_arrival_ms,1788363964822.4485,3f9f2601-1e4f-483c-8004-5a3e28de7e58,13,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,13,,
progressive_chunk_emit_ms,1788363965699.1772,3f9f2601-1e4f-483c-8004-5a3e28de7e58,25,,
progressive_chunk_playback_arrival_ms,1788363966691.846,3f9f2601-1e4f-483c-8004-5a3e28de7e58,14,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,14,,
progressive_chunk_emit_ms,1788363966864.354,3f9f2601-1e4f-483c-8004-5a3e28de7e58,26,,
progressive_chunk_emit_ms,1788363968007.1345,3f9f2601-1e4f-483c-8004-5a3e28de7e58,27,,
progressive_chunk_playback_arrival_ms,1788363968741.9172,3f9f2601-1e4f-483c-8004-5a3e28de7e58,15,False,48000
progressive_chunk_audio_duration_ms,2000.0,3f9f2601-1e4f-483c-8004-5a3e28de7e58,15,,
progressive_chunk_emit_ms,1788363969146.2273,3f9f2601-1e4f-483c-8004-5a3e28de7e58,28,,
